gap_length,scheduler,sample_idx,lsd,fad,spectral_convergence,normalized_harmonicity
100,sigmoid,0,0.021907925605773926,-7201.187340581548,0.9828144754824496,0.8593918280771834
100,sigmoid,1,0.02494138851761818,-8396.759932282073,0.9809782498119113,0.4489963909978029
100,sigmoid,2,0.06339409947395325,,0.8586686131221481,0.6085943771110617
100,sigmoid,3,0.02176015079021454,-5129.2318386333745,0.9871052392569741,0.9646407189817494
100,sigmoid,4,0.029036985710263252,,0.9809325487944034,0.4247683808346049
100,cosine,0,0.018143653869628906,-6987.000188745866,0.9877171230914591,0.9726584768252743
100,cosine,1,0.023867342621088028,-8197.293002089009,0.9902835348977184,0.8743442187070126
100,cosine,2,0.020048590376973152,-3194.034252687206,0.984364105253656,0.9916560097243687
100,cosine,3,0.02158091589808464,-5583.181522430696,0.9905990513123191,0.7751540541122646
100,cosine,4,0.020551469177007675,-1024.4647560685037,0.9892071792725857,0.9903890300824736
100,power,0,0.020436255261301994,-6686.435709287799,0.9892153559944963,0.8746594874535247
100,power,1,0.017283324152231216,-7780.378731804285,0.9895802538732883,0.39243534220315884
100,power,2,0.013814008794724941,-3186.620473272084,0.9919253618793186,0.9976803964726301
100,power,3,0.022128064185380936,-5684.501351322284,0.9916551579165535,0.8079139440368809
100,power,4,0.02255691960453987,-449.6959214001729,0.9849135800788831,0.89979926154303
200,sigmoid,0,0.0681338906288147,-1130.9201387875205,0.9698632076588098,0.4462985923360551
200,sigmoid,1,0.03524336963891983,-2914.500815042555,0.9827302165333366,0.9929518017321999
200,sigmoid,2,0.03701192885637283,-25778.924904660154,0.9774185671104826,0.7919620280906786
200,sigmoid,3,0.03351506590843201,,0.9746972000514796,0.39651279177698723
200,sigmoid,4,0.05697003751993179,-467.1300578124028,0.9661528194818899,0.7055706464375426
200,cosine,0,0.0926990956068039,-2688.3101471312966,0.8592155416434326,0.716626382513983
200,cosine,1,0.05125749483704567,-1078.0962248598184,0.9722117175134208,0.757399510723372
200,cosine,2,0.04538552090525627,-25578.34644243036,0.9729691010268791,0.9543990894392911
200,cosine,3,0.031114473938941956,-1851.9693873741326,0.9735980365956479,0.9841393942288076
200,cosine,4,0.0407448336482048,-743.3802384065898,0.9752610527979966,0.5477242433656545
200,power,0,0.08225881308317184,1960.5250581455866,0.9473956365535277,0.4103497470757118
200,power,1,0.0477990098297596,-3208.7222387240286,0.9727032067827084,0.6639253683825145
200,power,2,0.061513882130384445,-23668.795757299,0.9578731123511532,0.36842593753804714
200,power,3,0.02499367482960224,-1890.7681679376885,0.985307594730094,0.9821175693474352
200,power,4,0.10288181900978088,,0.8673575715290865,0.489886628693917
400,sigmoid,0,0.07610667496919632,-4762.3259139131005,0.9564665081296586,0.4346427232610373
400,sigmoid,1,0.0767582580447197,-1837.4364982806446,0.9335490518899678,0.8708105547653191
400,sigmoid,2,0.13271121680736542,-2867.0939923995684,0.9475270044423174,0.3942518852662238
400,sigmoid,3,0.1389162838459015,,0.7668555419438536,0.5203641832121186
400,sigmoid,4,0.10697989165782928,,0.96455379376861,0.7482663835675375
400,cosine,0,0.1145058125257492,-2651.5404112128663,0.9434557023273935,0.18017121837030511
400,cosine,1,0.08178740739822388,-2567.1596115783937,0.9397214290365328,0.6093253931973203
400,cosine,2,0.15755821764469147,-1969.8269772545736,0.9193899047024918,0.6717559451270022
400,cosine,3,0.08188167214393616,-806.4698969454089,0.9454952728219337,0.979525469595683
400,cosine,4,0.10355664789676666,-16120.734940290382,0.9467117561888985,0.8413610742703712
400,power,0,0.1261889636516571,-5165.311207321939,0.9442358296649058,0.8286437801956607
400,power,1,0.12984219193458557,516.1331457811502,0.9009062181954655,0.3885162968818298
400,power,2,0.1880529820919037,,0.9243191332588088,0.40014096380707165
400,power,3,0.12171809375286102,,0.806319923222778,0.3869424067750753
400,power,4,0.16735893487930298,-13979.217435427694,0.8767253093454577,0.7841739758870404
